company_name,report_url,year
Seagate Technology,https://www.seagate.com/content/dam/seagate/assets/esg/resources/files/seagate-fy2023-esg-performance-report.pdf,2024
ServiceNow,https://www.servicenow.com/standard/other-documents/servicenow-global-impact-report-2024.html,2024
Skyworks Solutions,https://www.skyworksinc.com/-/media/SkyWorks/Documents/Brochures/SustainabilityReport2023.pdf,2024
Supermicro,https://www.supermicro.com/GreenComputing/Supermicro-ESG-Report-2023.pdf,2024
Synopsys,https://www.synopsys.com/content/dam/synopsys/company/company-pdfs/synopsys-2023-esg-report.pdf,2024
TE Connectivity,https://www.te.com/content/dam/te-com/documents/about-te/corporate-responsibility/global/TEConnectivityCorporateResponsibilityReport2023.pdf,2024
Teledyne Technologies,https://www.teledyne.com/en-us/About-Us/Documents/Teledyne%20Technologies%202022%20Corporate%20Social%20Responsibility%20Report.pdf,2022
Teradyne,https://www.teradyne.com/wp-content/uploads/2024/10/Teradyne-CSR-Report-2024.pdf,2024
Texas Instruments,https://www.ti.com/lit/ml/szzo105/szzo105.pdf?ts=1734359056617&ref_url=https%253A%252F%252Fwww.ti.com%252Fabout-ti%252Fcitizenship-community%252Foverview.html,2024
Trimble Inc.,https://www.trimble.com/downloads/1yNFbifjp3LQtncORDFBZU/b9f6d019c70d1c0a3fedb8f1ba30019d/Trimble-sustainability-report-2023.pdf,2024
Tyler Technologies,https://www.tylertech.com/Portals/0/Corporate-Responsibility/Tyler-2023-CRR-Report.pdf,2024
Western Digital,https://documents.westerndigital.com/content/dam/doc-library/en_us/assets/public/western-digital/collateral/cert/western-digital-FY2023-sustainability-report.pdf,2024
Zebra Technologies,https://www.zebra.com/content/dam/zebra_dam/en/reports/industry-report/sustainability-report-industry-esg-en-us.pdf,2023
